[20210715-154338] -- INFO: Searching threads...
[20210715-154338] -- INFO: http://a.4cdn.org/a/thread/225521287.json: Starting download.
[20210715-154338] -- INFO: http://a.4cdn.org/a/thread/225503367.json: Starting download.
[20210715-154338] -- INFO: http://a.4cdn.org/a/thread/225459080.json: Starting download.
[20210715-154338] -- INFO: http://a.4cdn.org/a/thread/225546127.json: Starting download.
[20210715-154338] -- INFO: http://a.4cdn.org/a/thread/225532687.json: Starting download.
[20210715-154338] -- INFO: http://a.4cdn.org/a/thread/225520272.json: Starting download.
[20210715-154338] -- INFO: http://a.4cdn.org/a/thread/225545116.json: Starting download.
[20210715-154338] -- INFO: http://a.4cdn.org/a/thread/225512732.json: Starting download.
[20210715-154338] -- INFO: http://a.4cdn.org/a/thread/225544223.json: Starting download.
[20210715-154338] -- INFO: http://a.4cdn.org/a/thread/225544736.json: Starting download.
[20210715-154338] -- INFO: http://a.4cdn.org/a/thread/225545389.json: Starting download.
[20210715-154338] -- INFO: http://a.4cdn.org/a/thread/225537584.json: Starting download.
[20210715-154338] -- INFO: http://a.4cdn.org/a/thread/225524272.json: Starting download.
[20210715-154338] -- INFO: http://a.4cdn.org/a/thread/225538751.json: Starting download.
[20210715-154338] -- INFO: http://a.4cdn.org/a/thread/225543359.json: Starting download.
[20210715-154338] -- INFO: http://a.4cdn.org/a/thread/225545678.json: Starting download.
[20210715-154338] -- INFO: http://a.4cdn.org/a/thread/225543760.json: Starting download.
[20210715-154338] -- INFO: http://a.4cdn.org/a/thread/225517522.json: Starting download.
[20210715-154338] -- INFO: http://a.4cdn.org/a/thread/225527642.json: Starting download.
[20210715-154338] -- INFO: http://a.4cdn.org/a/thread/225502043.json: Starting download.
[20210715-154338] -- INFO: http://a.4cdn.org/a/thread/225541596.json: Starting download.
[20210715-154338] -- INFO: http://a.4cdn.org/a/thread/225523295.json: Starting download.
[20210715-154339] -- INFO: http://a.4cdn.org/a/thread/225425253.json: Starting download.
[20210715-154339] -- INFO: http://a.4cdn.org/a/thread/225542120.json: Starting download.
[20210715-154339] -- INFO: 24 threads currently downloading.
